Time [ms],Intensity
425233,35487
425607,39692
425981,47553
426354,57457
426729,68673
427103,77518
427477,82748
427851,85125
428224,86054
428599,87570
428972,90211
429346,93991
429719,98316
430094,99962
430468,96733
430842,87652
431216,74676
431590,62247
431964,52211
432337,47377
432712,48969
433086,58880
433460,79987
433834,117542
434207,179694
434581,268116
434955,373723
435329,463313
435703,505626
436077,490426
436451,424758
436825,343212
437199,268836
437573,215426
437947,177414
438320,151645
438695,131398
439068,113829
439443,97931
439816,83392
440190,71064
440564,61995
440938,56394
441312,53253
441686,51757
442060,51418
442433,51516
442808,52005
443182,53119
443556,56990
443930,68481
444304,92081
444678,130638
445051,177729
445425,218806
445799,238495
446173,231981
446547,200212
446921,161010
447295,122637
447669,92782
448043,72796
448417,58680
448791,49317
449164,42956
449539,38166
449913,34859
450286,32051
450660,29813
451034,28059
451408,27469
451782,28188
452156,30405
452530,34128
452904,39355
453278,45635
453652,53538
454026,63869
454400,74925
454774,85644
455147,95203
455521,101912
455895,105320
456269,102928
456643,96106
457017,86896
457391,77367
457765,68699
458139,58661
458513,49498
458887,40589
459261,32646
459635,26987
460009,23501
460383,22050
460756,21293
461130,21420
461504,21767
461878,22184
462252,22746
462626,23355
463000,24226
463374,25811
463748,28307
464122,31272
464496,34190
464870,35658
465244,34560
465618,31616
465991,27620
466365,23490
466739,20336
467113,17956
467487,16655
467861,16895
468235,18865
468609,21825
468983,25714
469357,29216
469731,31731
470105,33093
470479,33730
470853,32952
471226,31480
471600,28974
471974,25914
472348,22903
472722,20189
473096,17753
473470,15946
473844,14383
474218,13299
474592,12231
474966,11436
475340,10697
475714,10208
476088,10088
476461,10326
476835,11513
477209,13762
477583,18121
477957,25900
478331,38120
478705,54143
479079,70074
479453,82126
479827,86193
480200,84213
480575,76784
480948,71640
481323,70246
481696,73862
482070,81129
482444,90437
482818,102620
483192,116164
483566,126503
483940,125945
484313,114613
484688,95901
485061,75282
485436,57855
485809,46410
486184,39106
486557,34275
486931,31740
487305,29705
487679,28045
488053,26874
488426,26634
488801,28159
489174,31890
489549,38517
489922,50527
490297,75342
490670,122437
491045,194871
491419,288999
491793,382936
492167,452756
492539,477943
492914,461071
493287,421936
493662,372886
494035,329235
494410,295227
494784,267903
495158,247595
495532,225777
495906,200875
496280,172503
496654,143403
497027,117116
497402,99241
497775,95656
498149,113030
498523,157230
498897,222558
499271,295134
499645,355305
500019,379845
500393,356973
500767,294836
501140,220053
501515,155070
501888,111048
502263,84481
502636,70689
503010,63824
503384,65806
503758,80207
504132,114311
504506,170770
504880,234411
505253,285359
505628,299843
506001,278082
506376,228855
506750,174833
507124,126988
507498,92940
507872,71071
508245,58555
508619,52066
508993,53503
509366,68311
509741,103949
510115,165806
510489,243887
510863,320597
511237,367995
511611,371401
511985,331503
512358,262848
512733,194709
513107,141733
513480,105606
513854,84346
514227,71048
514602,62878
514976,59048
515350,58147
515723,58680
516098,60404
516472,61656
516846,60680
517220,56811
517594,51496
517967,45357
518342,40141
518715,36545
519088,34531
519463,33477
519837,33241
520211,34595
520585,37624
520959,42108
521332,46600
521707,49070
522081,48332
522455,44561
522828,39881
523203,36849
