Time [ms],,,Intensity
425237,,,40907
425611,,,45486
425985,,,54224
426359,,,65996
426733,,,77591
427107,,,86908
427481,,,92730
427855,,,96056
428229,,,98516
428603,,,100921
428977,,,104583
429351,,,109259
429725,,,113748
430098,,,114061
430472,,,109594
430846,,,98749
431220,,,83493
431594,,,68337
431968,,,56780
432342,,,51002
432716,,,51594
433090,,,60145
433464,,,80121
433838,,,118471
434212,,,185232
434586,,,281758
434960,,,391228
435333,,,485087
435707,,,527353
436081,,,507167
436455,,,438754
436829,,,356260
437203,,,282906
437577,,,228442
437951,,,190922
438325,,,162985
438699,,,141925
439073,,,122748
439447,,,104954
439821,,,89355
440195,,,76103
440568,,,66236
440942,,,59910
441316,,,56252
441690,,,54310
442064,,,53425
442438,,,53129
442812,,,53266
443186,,,54159
443560,,,58551
443934,,,71466
444308,,,98452
444682,,,141401
445056,,,190523
445430,,,231964
445803,,,248830
446176,,,238632
446551,,,207483
446925,,,166985
447299,,,129386
447673,,,99151
448047,,,77868
448421,,,63084
448795,,,53302
449169,,,46422
449543,,,41639
449917,,,37801
450291,,,34727
450665,,,32123
451037,,,30213
451412,,,29346
451786,,,29857
452159,,,32029
452534,,,36043
452908,,,41589
453282,,,48690
453656,,,58847
454030,,,71204
454404,,,84097
454778,,,95725
455152,,,105259
455526,,,112355
455900,,,114061
456272,,,108835
456647,,,99041
457020,,,86588
457395,,,74274
457769,,,63045
458143,,,52565
458517,,,43523
458890,,,36073
459265,,,30176
459639,,,26095
460013,,,23567
460387,,,22406
460761,,,22008
461135,,,22159
461509,,,22406
461882,,,22704
462256,,,22847
462630,,,23338
463003,,,24052
463378,,,25269
463751,,,27322
464126,,,30192
464500,,,32386
464873,,,33480
465248,,,32522
465622,,,30081
465996,,,26820
466370,,,23212
466743,,,20206
467116,,,18140
467491,,,17418
467865,,,18488
468239,,,21099
468613,,,25506
468986,,,29847
469361,,,33608
469734,,,35817
470109,,,36553
470482,,,36064
470857,,,34715
471231,,,32830
471605,,,29970
471979,,,26905
472352,,,23871
472726,,,21194
473099,,,18861
473474,,,16755
473847,,,15220
474222,,,13946
474596,,,12883
474969,,,12080
475344,,,11295
475717,,,10775
476092,,,10774
476465,,,11348
476840,,,13064
477214,,,16459
477587,,,23192
477961,,,35034
478335,,,51851
478709,,,72076
479082,,,90126
479457,,,101993
479830,,,103150
480205,,,96980
480579,,,87807
480953,,,81188
481327,,,80524
481700,,,84975
482075,,,93630
482448,,,106054
482822,,,120109
483196,,,134840
483570,,,144603
483944,,,143297
484318,,,130623
484692,,,107818
485066,,,84496
485440,,,65640
485813,,,52002
486188,,,44127
486562,,,39120
486936,,,35589
487310,,,33311
487684,,,31259
488057,,,29787
488431,,,29494
488805,,,31184
489179,,,35020
489553,,,42416
489927,,,56872
490301,,,86211
490675,,,141803
491049,,,230471
491423,,,346072
491797,,,459921
492171,,,552125
492545,,,603861
492919,,,611799
493292,,,583261
493665,,,531673
494040,,,475732
494414,,,422846
494788,,,379844
495162,,,348306
495536,,,320995
495910,,,288270
496284,,,252367
496658,,,211283
497032,,,172291
497406,,,143452
497780,,,132867
498154,,,148313
498526,,,192466
498901,,,261648
499275,,,340257
499649,,,408138
500023,,,437262
500397,,,424966
500771,,,365007
501145,,,284704
501519,,,206704
501893,,,148096
502267,,,111933
502640,,,91100
503015,,,83285
503389,,,88305
503762,,,116011
504135,,,176295
504510,,,268480
504883,,,371537
505258,,,453823
505631,,,485943
506006,,,465059
506380,,,394835
506754,,,300865
507128,,,215796
507502,,,153497
507876,,,115543
508250,,,92856
508624,,,80200
508996,,,77980
509371,,,91737
509744,,,131146
510119,,,198641
510492,,,289505
510867,,,379939
511240,,,440135
511615,,,449699
511988,,,401825
512363,,,320148
512737,,,237249
513111,,,171954
513485,,,129080
513859,,,102507
514232,,,86214
514606,,,76240
514980,,,70792
515353,,,68484
515728,,,68368
516102,,,69878
516476,,,71120
516849,,,70357
517224,,,66565
517597,,,60425
517972,,,54245
518346,,,48149
518720,,,43810
519094,,,41482
519467,,,40343
519841,,,40420
520214,,,42238
520589,,,46452
520962,,,52661
521337,,,58904
521711,,,62652
522085,,,61625
522458,,,57117
522832,,,51925
523207,,,50228
523581,,,54769
523954,,,65451
524329,,,78843
524702,,,87713
525076,,,88661
525450,,,81175
525824,,,68899
526198,,,55149
526572,,,43517
526946,,,35062
527319,,,30434
527694,,,29589
528068,,,32084
528442,,,38062
528815,,,45451
529190,,,52279
529564,,,55729
529937,,,55656
530311,,,52884
530685,,,47770
531059,,,42150
531433,,,37990
531807,,,37094
532180,,,41136
532555,,,50666
532929,,,64793
533303,,,80649
533676,,,93581
534051,,,98388
534425,,,94972
534799,,,85662
535172,,,73932
535545,,,63390
535920,,,57139
536294,,,55479
536668,,,59371
537041,,,66544
537416,,,74992
537790,,,79163
538164,,,76693
538538,,,68229
538912,,,56672
539286,,,44507
539660,,,35061
540034,,,28562
540406,,,24551
540781,,,22160
541155,,,20980
541529,,,20303
541903,,,19683
542277,,,19076
542651,,,17914
543025,,,16672
543399,,,15370
543773,,,14641
544146,,,14388
544521,,,14500
544895,,,15059
545269,,,16190
545642,,,19496
546016,,,29347
546390,,,54817
546764,,,108522
547138,,,199557
547512,,,317440
547886,,,441672
548260,,,545319
548634,,,605949
549007,,,605501
549382,,,547182
549756,,,443444
550130,,,330987
550503,,,237965
550877,,,173793
551251,,,133733
551625,,,107697
551999,,,89964
552372,,,76147
552747,,,65381
553121,,,56674
553495,,,49510
553868,,,43727
554243,,,39090
554617,,,35811
554991,,,33609
555365,,,32427
555739,,,32121
556112,,,32480
556486,,,33086
556860,,,33663
557233,,,33666
557608,,,33242
557982,,,32639
558356,,,32397
558730,,,34414
559104,,,40226
559478,,,56984
559852,,,98271
560226,,,185949
560600,,,334312
560973,,,540549
561348,,,781713
561721,,,1027804
562095,,,1258979
562469,,,1458966
562843,,,1610734
563217,,,1748173
563591,,,1823607
563965,,,1815890
564339,,,1635351
564713,,,1141250
565087,,,620974
565461,,,370997
565834,,,278773
566209,,,235781
566583,,,202667
566956,,,176237
567330,,,154750
567704,,,136078
568078,,,118143
568452,,,105361
568826,,,96467
569199,,,90730
569574,,,86734
569948,,,83756
570322,,,79136
570696,,,73952
571070,,,69641
571444,,,67753
571818,,,71130
572191,,,82200
572564,,,100749
572939,,,123849
573313,,,142654
573687,,,147430
574061,,,138797
574435,,,122018
574809,,,105515
575183,,,90802
575557,,,78401
575931,,,67144
576305,,,57576
576679,,,52562
577053,,,53355
577426,,,58685
577800,,,66680
578174,,,73970
578548,,,77679
578922,,,76893
579296,,,72711
579670,,,67037
580044,,,64440
580418,,,65475
580792,,,69370
581165,,,72146
581540,,,71643
581914,,,66785
582288,,,59638
582661,,,52436
583035,,,47696
583409,,,47331
583783,,,52508
584157,,,62947
584531,,,77494
584905,,,92200
585279,,,104673
585653,,,112373
586027,,,118114
586401,,,123467
586775,,,127076
587149,,,124262
587523,,,114683
587896,,,99279
588270,,,84577
588644,,,75650
589018,,,74661
589392,,,78620
589766,,,83538
590140,,,86659
590514,,,84522
590888,,,77377
591262,,,68282
591636,,,61423
592010,,,58440
592384,,,59104
592758,,,59549
593131,,,57644
593505,,,52942
593878,,,46690
594253,,,42350
594627,,,43289
595001,,,52599
595375,,,73658
595749,,,106961
596123,,,149979
596497,,,195165
596871,,,236727
597245,,,269864
597619,,,289687
597992,,,299992
598366,,,301130
598740,,,296180
599114,,,279387
599488,,,257797
599862,,,239036
600236,,,231180
600610,,,241345
600984,,,263776
601358,,,291173
601732,,,303465
602106,,,292437
602480,,,264096
602854,,,231083
603228,,,199848
603601,,,171766
603975,,,146174
604348,,,120559
604723,,,97617
605097,,,79147
605471,,,65751
605844,,,56443
606219,,,50508
606593,,,45963
606967,,,42408
607341,,,40044
607715,,,40389
608089,,,44967
608463,,,55665
608836,,,74507
609209,,,100774
609584,,,129887
609958,,,159398
610332,,,181369
610705,,,193046
611080,,,193160
611454,,,183596
611828,,,174313
612202,,,170915
612576,,,186409
612950,,,234369
613324,,,313355
613698,,,408260
614070,,,474153
614445,,,493243
614819,,,451216
615193,,,374157
615567,,,279997
615941,,,202559
616314,,,148718
616689,,,118847
617063,,,105779
617437,,,105674
617810,,,112159
618185,,,119013
618559,,,120618
618933,,,114661
619306,,,103011
619680,,,93272
620054,,,92278
620428,,,106976
620802,,,142265
621175,,,186711
621550,,,226235
621924,,,247894
622298,,,243972
622671,,,214816
623046,,,175689
623420,,,137106
623794,,,106749
624167,,,84170
624540,,,68799
624915,,,58268
625289,,,51039
625663,,,47156
626036,,,46204
626411,,,48307
626785,,,53792
627159,,,63646
627532,,,78172
627907,,,97326
628281,,,120003
628655,,,139148
629029,,,148398
629403,,,143688
629776,,,129364
630150,,,110241
630524,,,89688
630897,,,72401
631272,,,60116
631646,,,51395
632020,,,45638
632394,,,42611
632768,,,41383
633141,,,40192
633516,,,38234
633890,,,36097
634264,,,33956
634637,,,32130
635011,,,31108
635385,,,29623
635759,,,28211
636133,,,27694
636507,,,28511
636881,,,30468
637255,,,34139
637629,,,39008
638002,,,43482
638377,,,46329
638751,,,47267
639125,,,45226
639498,,,40858
639873,,,35814
640246,,,31030
640620,,,26875
640994,,,23767
641367,,,21597
641742,,,20225
642116,,,19955
642490,,,20324
642863,,,20848
643238,,,20921
643612,,,20427
643986,,,19482
644360,,,19411
644734,,,22200
645108,,,30248
645482,,,46178
645855,,,69547
646228,,,96956
646603,,,120365
646977,,,135075
647351,,,142964
647725,,,155720
648099,,,190065
648473,,,254147
648847,,,333806
649221,,,409595
649595,,,454721
649968,,,474763
650343,,,466426
650716,,,454009
651090,,,438930
651464,,,422469
651838,,,389027
652212,,,332985
652586,,,272918
652960,,,217393
653334,,,180349
653708,,,164898
654082,,,170935
654456,,,188239
654829,,,206411
655204,,,214661
655578,,,212212
655952,,,206372
656325,,,199896
656699,,,199867
657073,,,196849
657447,,,190273
657821,,,173779
658194,,,146730
658569,,,118405
658943,,,96503
659317,,,90916
659691,,,114066
660065,,,181756
660439,,,303255
660813,,,473233
661187,,,660295
661560,,,827012
661934,,,918599
662308,,,903664
662682,,,794732
663056,,,631571
663430,,,466597
663804,,,325681
664178,,,230737
664552,,,169198
664926,,,142703
665300,,,144938
665674,,,174026
666048,,,221788
666422,,,273479
666795,,,309995
667169,,,313887
667543,,,286346
667917,,,236016
668291,,,181031
668665,,,138201
669039,,,106661
669413,,,86660
669787,,,73466
670161,,,65963
670535,,,66287
670909,,,82444
671283,,,127672
671656,,,211395
672030,,,330523
672404,,,471159
672778,,,589275
673152,,,663553
673526,,,663717
673900,,,576040
674274,,,454776
674648,,,345747
675021,,,273521
675396,,,238098
675770,,,223466
676144,,,219789
676518,,,211779
676892,,,194836
677265,,,167561
677639,,,137065
678013,,,110266
678387,,,88623
678761,,,72204
679135,,,60332
679509,,,50746
679883,,,42682
680257,,,36167
680631,,,32225
681005,,,32289
681379,,,41173
681753,,,68175
682127,,,124281
682500,,,223125
682874,,,351106
683248,,,484925
683622,,,596199
683996,,,644143
684370,,,615567
684744,,,512274
685118,,,382367
685492,,,264018
685866,,,180872
686240,,,123902
686614,,,92463
686988,,,73998
687362,,,63038
687734,,,57028
688109,,,55072
688483,,,54211
688857,,,53784
689231,,,52661
689605,,,50153
689979,,,46094
690353,,,41075
690727,,,37227
691101,,,36388
691475,,,41879
691848,,,56280
692223,,,82246
692597,,,118376
692970,,,158399
693343,,,186821
693718,,,195051
694092,,,186483
694466,,,172981
694840,,,168020
695214,,,179027
695588,,,200631
695962,,,221504
696336,,,226781
696710,,,211254
697084,,,182387
697458,,,148764
697832,,,118608
698204,,,96944
698579,,,83099
698953,,,72925
699327,,,64010
699700,,,54756
700075,,,45703
700449,,,37876
700823,,,31975
701197,,,27949
701571,,,25937
701945,,,25653
702319,,,26983
702693,,,29717
703067,,,34944
703440,,,41533
703814,,,47649
704188,,,53541
704561,,,60885
704936,,,73148
705310,,,100638
705684,,,150384
706058,,,217550
706432,,,289662
706805,,,338918
707180,,,347261
707554,,,310374
707928,,,252561
708302,,,192448
708675,,,137311
709049,,,100562
709423,,,78192
709797,,,68310
710170,,,64011
710545,,,62326
710919,,,60914
711293,,,58166
711666,,,56042
712041,,,54966
712415,,,57159
712789,,,61834
713162,,,68183
713537,,,73216
713910,,,74178
714284,,,70002
714658,,,62078
715031,,,52452
715406,,,45697
715780,,,43754
716154,,,47118
716527,,,54686
716902,,,64485
717276,,,73043
717650,,,77512
718024,,,77104
718398,,,73506
718771,,,70658
719145,,,69738
719519,,,68862
719892,,,67580
720267,,,61767
720641,,,52772
721015,,,43339
721389,,,34644
721763,,,28666
722137,,,26102
722511,,,26962
722885,,,31316
723259,,,39513
723632,,,52709
724007,,,71460
724380,,,97260
724754,,,122861
725128,,,143796
725502,,,152712
725876,,,151008
726250,,,140615
726624,,,130125
726997,,,128677
727372,,,142069
727746,,,168277
728120,,,199689
728493,,,225295
728868,,,234290
729242,,,224697
729615,,,201231
729989,,,172395
730363,,,146430
730737,,,136830
731111,,,155554
731485,,,221529
731858,,,348140
732233,,,535153
732607,,,775675
732981,,,1042641
733355,,,1314097
733729,,,1544740
734103,,,1746536
734477,,,1876069
734850,,,1976563
735223,,,2050476
735598,,,2062175
735972,,,2045123
736346,,,1815381
736720,,,1085696
737094,,,426387
737468,,,201605
737842,,,147424
738216,,,137279
738590,,,134434
738964,,,133769
739338,,,131634
739712,,,128796
740086,,,127049
740459,,,129896
740833,,,139077
741207,,,154167
741581,,,170672
741955,,,182673
742329,,,183152
742703,,,173020
743077,,,154901
743451,,,134944
743824,,,118842
744199,,,111548
744573,,,116170
744947,,,131267
745320,,,155327
745694,,,183361
746068,,,210381
746442,,,229352
746816,,,232882
747189,,,219572
747564,,,197989
747938,,,171384
748312,,,147753
748685,,,128627
749060,,,112141
749434,,,98056
749808,,,88002
750182,,,82405
750556,,,80605
750929,,,83528
751303,,,91018
751677,,,103314
752050,,,121631
752425,,,141697
752799,,,159189
753173,,,169555
753547,,,170356
753921,,,165315
754295,,,153608
754669,,,135204
755043,,,112566
755417,,,93574
755790,,,86278
756164,,,99227
756538,,,144811
756912,,,232342
757286,,,357116
757660,,,488850
758034,,,583458
758408,,,617350
758782,,,573800
759156,,,487094
759530,,,384129
759904,,,296972
760278,,,234233
760651,,,192923
761026,,,166652
761399,,,150451
761773,,,147091
762147,,,153007
762521,,,168367
762895,,,193503
763269,,,229807
763643,,,286176
764016,,,369235
764391,,,465432
764765,,,544405
765139,,,567946
765512,,,523828
765887,,,432118
766261,,,322588
766634,,,226990
767008,,,163094
767382,,,126674
767756,,,105694
768130,,,92888
768504,,,84101
768877,,,78906
769252,,,78197
769626,,,82422
770000,,,89525
770374,,,97981
770748,,,108687
771122,,,123778
771496,,,142579
771869,,,164612
772242,,,184670
772617,,,202149
772991,,,215518
773365,,,224191
773739,,,225711
774113,,,215649
774487,,,192058
774861,,,159508
775235,,,121677
775609,,,88736
775983,,,66137
776357,,,55319
776731,,,55722
777104,,,69633
777478,,,94212
777852,,,127289
778226,,,159680
778600,,,180559
778974,,,179085
779348,,,163310
779722,,,136322
780096,,,107330
780470,,,83538
780843,,,66758
