,RetentionTime Sample 1,Compounds,A,B,NormalisedToBS10,% 2/3 After Normalisation
0,12.22,1_1-M-Adam,3004.0,14631.0,8095.673959974328,55.33233517855463
1,15.18,"2_1,2-DM-Adam",2723.0,9497.0,7338.388879164479,77.27059997014297
2,15.55,3_i-C13,2108.0,10892.0,5680.9855884240615,52.15741450995282
3,15.46,4_2-M-Tetralin,8771.0,33691.0,23637.535387128773,70.15979159754467
4,15.37,"5_c-1,3,4-TM-Adam",1912.0,6980.0,5152.7725071474415,73.82195568979142
5,16.66,6_C6_Benz,2352.0,11214.0,6338.556975319447,56.52360420295565
6,17.06,7_i-C14,7346.0,24627.0,19797.210689071708,80.38823522585662
7,16.64,8_2-E-Adam,2814.0,8961.0,7583.630666900052,84.62928988840589
8,18.6,9_BS1,7857.0,24363.0,21174.33765097147,86.911864922101
9,18.97,10_C3-de peak,1031.0,2994.0,2778.5086061030397,92.80255865407615
10,18.97,11_BS2,7802.0,22412.0,21026.11459244997,93.81632425687117
11,19.22,12_C7_Benz,3211.0,11882.0,8653.531652955247,72.82891476986406
12,19.54,13_B,11815.0,40797.0,31841.007935118734,78.04742489672951
13,19.87,14_2-E-N,14146.0,49696.0,38122.97065172997,76.71235240608897
14,20.13,"15_2,6+2,7-DM-N",60200.0,179836.0,162236.87496353345,90.21379199022078
15,21.48,16_Br-Alk 169-3,1371.0,4155.0,3694.7966042359535,88.92410599845857
16,21.44,17_BS4,9467.0,25879.0,25513.230818600852,98.58661779280827
17,21.63,18_BS5,17642.0,50712.0,47544.56724429663,93.75407644008644
18,21.93,19_BS6,7168.0,19268.0,19317.506972402123,100.25693882292984
19,22.41,20_n-C15,5840.0,18760.0,15738.593850282981,83.89442350897112
20,23.29,21_BS8,6172.0,16965.0,16633.322130812765,98.04492856358836
21,23.44,22_BS9,4518.0,12764.0,12175.850516366183,95.39212250365233
22,23.61,23_m-C8-Tol,4701.0,12541.0,12669.02905653772,101.02088395293613
23,23.52,24_BS10,17139.0,46189.0,46189.0,100.0
24,23.99,25_o-C8-Tol,1865.0,4728.0,5026.109166229068,106.30518541093629
25,25.56,26_Norpri,10083.0,24112.0,27173.32907404166,112.6962884623493
26,25.75,27_m-C9-Tol,4764.0,12008.0,12838.81183266235,106.91881939259119
27,26.03,28_C10_Benz,2940.0,8088.0,7923.196219149309,97.96236670560472
28,26.58,29_n-C17,139100.0,369777.0,374869.58982437715,101.3772056737918
29,26.7,30_Pri,51413.0,119838.0,138556.22014119843,115.6196032487178
30,25.65,31_n-C11-CyC6,21200.0,51418.0,57133.25164828753,111.11527412246204
31,28.51,32_n-C18,124564.0,334376.0,335695.5829394947,100.39464044653165
32,28.69,33_Phy,24923.0,61160.0,67166.60522784293,109.82113346606103
33,29.32,34_4-M-Dbt,14588.0,39328.0,39314.14504930276,99.96477077223037
34,29.68,35_Br-Alk 225-3,1333.0,3874.0,3592.3879456210984,92.73071620085437
35,30.35,36_n-C19,1908.0,5771.0,5141.992648345878,89.10054840315158
36,30.11,37_1-M-Dbt,4047.0,10700.0,10906.522142482057,101.93011348114072
37,30.18,38_2-M-Phe,54065.0,149248.0,145703.26652663515,97.62493737044058
38,30.6,39_FAME 16:0,,,,0.0001
39,30.6,40_1-M-Phe,30014.0,80931.0,80886.67051753312,99.94522558418049
40,31.53,41_C2-dbt_s,167977.0,446362.0,452692.08547756576,101.41815062159542
41,32.52,42_C2-phe_s,752533.0,1932144.0,2028049.8708792813,104.9637020263128
42,33.76,43_FAME 18:0,,,,0.0001
43,34.92,44_2-M-Fl,3193.0,8435.0,8605.022288348211,102.01567621041151
44,35.3,45_C15-Benz,1482.0,4397.0,3993.9376859793456,90.83324280144066
45,35.37,46_BaF,8532.0,23533.0,22993.43882373534,97.70721465064098
46,35.51,47_Retene,,,,0.0001
47,35.73,48_2-M-Py,22887.0,61353.0,61679.65709784702,100.53242237192478
48,36.1,49_4-M-Py,25649.0,68213.0,69123.14960032674,101.33427587164725
49,36.21,50_1-M-Py,21511.0,57900.0,57971.385670109106,100.12329131279638
50,36.84,51_C23Tr,6731.0,16812.0,18139.80739833129,107.89797405621752
51,37.66,52_C24Tr,4225.0,10721.0,11386.225859151642,106.20488629000691
52,38.46,53_C17-Benz,872.0,2586.0,2350.0092187408836,90.87429306809294
53,43.96,54_27bbR+S,5440.0,14468.0,14660.607970126614,101.33126880098571
54,44.65,55_27Ts,12342.0,32001.0,33261.25433222475,103.93817172033609
55,45.12,56_SC26 TA,,,,0.0001
56,45.14,57_27Tm,9245.0,24025.0,24914.94865511407,103.70426079131765
57,46.0,58_RC26TA+SC27 TA,7157.0,21171.0,19287.86236069782,91.10510774501829
58,46.25,59_29bbR+S,4924.0,13416.0,13270.006184724896,98.9117932671802
59,46.44,60_28ab,11192.0,28121.0,30162.044926775194,107.25808088892713
60,46.71,61_SC28 TA,,,,0.0001
61,46.78,62_29ab,34904.0,85813.0,94065.04790244471,109.61631443073277
62,47.63,63_30O,5240.0,14731.0,14121.615030048426,95.86324777712598
63,47.78,64_30ab,73370.0,184207.0,197729.5600676819,107.34095884938243
64,47.95,65_RC28 TA,3722.0,10687.0,10030.658614855009,93.85850673580059
65,48.93,66_31abS,22542.0,56313.0,60749.894276212144,107.8789875805092
66,49.24,67_30G,9498.0,28514.0,25596.77472431297,89.76914752161383
67,10.89,68_De,3111.0,17040.0,8384.035182916155,49.20208440678495
68,12.96,"69_1,3,5-TM-Adam",1196.0,4995.0,3223.177781667542,64.52808371706791
69,12.55,70_C1-de_s,34896.0,154033.0,94043.4881848416,61.054117094935236
70,14.05,71_2-M-Adam,1888.0,7613.0,5088.09335433806,66.83427498145356
71,13.99,72_Tetralin,5877.0,33534.0,15838.307544197445,47.23059445397938
72,14.34,"73_c-1,4-DM-Adam",2376.0,9151.0,6403.236128128829,69.97307538114772
73,14.56,74_N,11772.0,278264.0,31725.12445300192,11.401088338053762
74,14.48,"75_tr-1,4-DM-Adam",2278.0,8763.0,6139.129587490518,70.05739572624121
75,14.68,"76_1,3,6-TM-Adam",1791.0,6719.0,4826.68177840014,71.83631162970889
76,14.12,77_C2-de_s,57286.0,212041.0,154383.7478265943,72.80844168184186
77,15.49,"78_tr-1,3,4-TM-Adam",2014.0,7191.0,5427.658906587315,75.47849960488547
78,15.61,"79_1,2,5,7-TeM-Adam ",1387.0,4784.0,3737.9160394422083,78.13369647663478
79,17.93,80_1-M-N,63106.0,387203.0,170068.44238286949,43.92229460589652
80,18.99,81_m-C6-Tol,4763.0,16487.0,12836.116867961957,77.8559887666765
81,19.45,82_Br-Alk-169-1,2097.0,7522.0,5651.340976719762,75.13082925710931
82,19.36,83_ o-C6-Tol,1725.0,4977.0,4648.814108174339,93.4059495313309
83,19.6,84_i-C15,6187.0,17862.0,16673.746601318628,93.34759042278932
84,20.46,"85_1,3+1,7-DM-N",84588.0,242398.0,227961.67407666723,94.04437085977081
85,20.54,"86_1,6-DM-N",70587.0,208515.0,190229.47330649398,91.23059410905401
86,20.6,87_BS3,11885.0,31752.0,32029.655464146097,100.8744503154009
87,20.13,88_C2-bt_s,28256.0,84859.0,76148.92257424588,89.73582363007563
88,21.1,89_ANY,,,,0.0001
89,21.36,90_m-C7-Tol,4866.0,14940.0,13113.698232102224,87.77575791233082
90,21.48,91_Br-Alk-169-2,1331.0,4155.0,3586.998016220316,86.32967548063336
91,21.26,"92_1,2 -DM-N",15395.0,46252.0,41488.98156251823,89.7020270745443
92,21.57,93_i-C16,11301.0,30269.0,30455.7960791178,100.61712008694639
93,21.73,94_ o-C7-Tol,1887.0,5392.0,5085.3983896376685,94.31376835381432
94,22.51,95_ Diam,,,,0.0001
95,22.65,96_FAME 12:0,,,,0.0001
96,22.79,97_4-M-Diam,,,,0.0001
97,22.86,"98_1,3,7-TM-N",36195.0,98222.0,97544.24733064939,99.30997875287551
98,22.96,"99_1,3,6-TM-N",45356.0,120919.0,122232.81895093061,101.08652813117095
