,RetentionTime Sample 1,Compounds,A,B,NormalisedToHopane,% 2/3 After Normalisation
0,12.22,1_1-M-Adam,3004.0,23763.0,8237.560038162737,34.665488524861075
1,15.18,"2_1,2-DM-Adam",2723.0,12903.0,7467.002657762027,57.87028332761395
2,15.55,3_i-C13,2108.0,14144.0,5780.551451546954,40.869283452679255
3,15.46,4_2-M-Tetralin,8771.0,41435.0,24051.810617418563,58.047087287120945
4,15.37,"5_c-1,3,4-TM-Adam",1912.0,8799.0,5243.080823224751,59.587235177005915
5,16.66,6_C6_Benz,2352.0,13585.0,6449.647539866431,47.47624247233294
6,17.06,7_i-C14,7346.0,29544.0,20144.17977374949,68.18365750659859
7,16.64,8_2-E-Adam,2814.0,11100.0,7716.542592340193,69.51840173279453
8,18.6,9_BS1,7857.0,28287.0,21545.442483303803,76.16729410437233
9,18.97,10_C3-de peak,1031.0,3510.0,2827.2051928581163,80.54715649168422
10,18.97,11_BS2,7802.0,26834.0,21394.621643723593,79.72952837342027
11,19.22,12_C7_Benz,3211.0,13618.0,8805.194834400982,64.65850223528405
12,19.54,13_B,11815.0,47005.0,32399.058538912363,68.92683446210481
13,19.87,14_2-E-N,14146.0,58014.0,38791.11994002998,66.86510142384593
14,20.13,"15_2,6+2,7-DM-N",60200.0,207141.0,165080.26441324793,79.69463525484956
15,21.48,16_Br-Alk 169-3,1371.0,4793.0,3759.5522011721414,78.43839351496227
16,21.44,17_BS4,9467.0,30030.0,25960.37978737904,86.44815114012333
17,21.63,18_BS5,17642.0,56411.0,48377.84094316478,85.75958756831962
18,21.93,19_BS6,7168.0,22091.0,19656.068692926263,88.97772256994371
19,22.41,20_n-C15,5840.0,19969.0,16014.430966335014,80.19645934365774
20,23.29,21_BS8,6172.0,17886.0,16924.84039798283,94.6261903051707
21,23.44,22_BS9,4518.0,14553.0,12389.246422243423,85.13190697617964
22,23.61,23_m-C8-Tol,4701.0,14095.0,12891.06848848303,91.45844972318575
23,23.52,24_BS10,17139.0,50632.0,46998.51581027668,92.82373955260839
24,23.99,25_o-C8-Tol,1865.0,5663.0,5114.197560310754,90.3089804045692
25,25.56,26_Norpri,10083.0,28220.0,27649.573190677387,97.97864348220195
26,25.75,27_m-C9-Tol,4764.0,12949.0,13063.826904729454,100.88676272090086
27,26.03,28_C10_Benz,2940.0,9049.0,8062.059424833038,89.09337412789301
28,26.58,29_n-C17,139100.0,395475.0,381439.61428376724,96.45100557146905
29,26.7,30_Pri,51413.0,127089.0,140984.57864249693,110.93373827986446
30,25.65,31_n-C11-CyC6,21200.0,56759.0,58134.57816546272,102.42354193249128
31,28.51,32_n-C18,124564.0,372161.0,341579.0374812594,91.78259878957209
32,28.69,33_Phy,24923.0,67967.0,68343.77790650129,100.55435418144289
33,29.32,34_4-M-Dbt,14588.0,41858.0,40003.17105083822,95.56875878168621
34,29.68,35_Br-Alk 225-3,1333.0,4005.0,3655.3487120076325,91.26963076173864
35,30.35,36_n-C19,1908.0,6705.0,5232.112034891645,78.03299082612446
36,30.11,37_1-M-Dbt,4047.0,11895.0,11097.671596020173,93.2969449013886
37,30.18,38_2-M-Phe,54065.0,159678.0,148256.88530734633,92.84740872715486
38,30.6,39_FAME 16:0,,,,0.0001
39,30.6,40_1-M-Phe,30014.0,85740.0,82304.30325746218,95.9928892669258
40,31.53,41_C2-dbt_s,167977.0,486750.0,460626.0394575439,94.6329819121816
41,32.52,42_C2-phe_s,752533.0,2077735.0,2063593.7976693471,99.31939336197095
42,33.76,43_FAME 18:0,,,,0.0001
43,34.92,44_2-M-Fl,3193.0,8941.0,8755.835286902004,97.92903799241701
