RT(milliseconds),TIC
19,18.344532
38,18.35573
57,18.357813
76,18.367708
95,18.36914
114,18.367188
133,18.3681
152,18.373697
171,18.370052
190,18.353907
209,18.344791
228,18.341667
247,18.347006
266,18.353516
285,18.359766
304,18.36927
323,18.371223
342,18.375
361,18.37513
380,18.373959
399,18.371485
418,18.369532
437,18.364063
456,18.367579
475,18.364323
494,18.36797
513,18.36211
532,18.375261
551,18.327084
570,18.36263
589,18.299349
608,18.364584
627,18.320704
646,18.37448
665,18.356771
684,18.360287
703,18.360025
722,18.347786
741,18.359114
760,18.337109
779,18.410156
798,18.366796
817,18.328646
836,18.2
855,18.214323
874,18.2625
893,18.33034
912,18.354166
931,18.351954
950,18.353907
969,18.335287
988,18.353386
1007,18.348698
1026,18.365496
1045,18.365625
1064,18.364063
1083,18.376432
1102,18.366276
1121,18.366537
1140,18.354557
1159,18.354557
1178,18.35716
1197,18.361328
1216,18.360416
1235,18.364063
1254,18.363543
1273,18.366667
1292,18.370703
1311,18.3681
1330,18.358072
1349,18.351692
1368,18.347527
1387,18.358334
1406,18.359245
1425,18.365234
1444,18.361198
1463,18.354948
1482,18.352083
1501,18.36159
1520,18.376692
1539,18.380598
1558,18.364452
1577,18.35573
1596,18.359896
1615,18.369402
1634,18.358204
1653,18.34948
1672,18.354557
1691,18.366667
1710,18.366276
1729,18.352474
1748,18.347656
1767,18.356771
1786,18.372265
1805,18.373697
1824,18.365364
1843,18.36302
1862,18.3681
1881,18.37448
1900,18.380468
1919,18.36888
1938,18.366537
1957,18.366667
1976,18.376171
1995,18.368229
2014,18.360678
2033,18.354298
2052,18.358463
2071,18.358334
2090,18.3625
2109,18.359245
2128,18.353516
2147,18.359114
2166,18.363281
2185,18.36341
2204,18.357683
2223,18.344791
2242,18.332682
2261,18.329817
2280,18.33776
2299,18.346354
2318,18.35013
2337,18.348307
2356,18.358334
2375,18.35638
2394,18.365755
2413,18.36289
2432,18.35612
2451,18.3444
2470,18.33763
2489,18.347786
2508,18.352213
2527,18.342709
2546,18.333202
2565,18.333464
2584,18.35625
2603,18.374609
2622,18.378124
2641,18.379036
2660,18.37513
2679,18.376823
2698,18.372265
2717,18.372135
2736,18.3819
2755,18.378256
2774,18.366405
2793,18.35078
2812,18.346354
2831,18.35013
2850,18.348959
2869,18.360807
2888,18.367579
2907,18.369402
2926,18.358593
2945,18.360937
2964,18.365755
2983,18.358072
3002,18.343359
3021,18.341015
3040,18.343359
3059,18.35026
3078,18.347006
3097,18.347136
3116,18.346874
3135,18.344662
3154,18.344141
3173,18.35026
3192,18.364714
3211,18.369923
3230,18.360937
3249,18.348307
3268,18.35065
3287,18.352083
3306,18.349218
3325,18.34388
3344,18.338282
3363,18.346874
3382,18.344141
3401,18.353386
3420,18.35013
3439,18.361067
3458,18.357683
3477,18.358334
3496,18.354166
3515,18.35586
3534,18.352604
3553,18.35013
3572,18.353254
3591,18.353777
3610,18.349089
3629,18.343489
3648,18.341276
3667,18.348568
3686,18.354818
3705,18.358204
3724,18.36159
3743,18.365885
3762,18.376303
3781,18.376041
3800,18.363672
3819,18.353645
3838,18.355207
3857,18.35638
3876,18.364843
3895,18.366667
3914,18.36797
3933,18.357943
3952,18.34375
3971,18.351301
3990,18.35599
4009,18.35013
4028,18.338282
4047,18.327343
4066,18.342058
4085,18.342579
4104,18.346224
4123,18.345053
4142,18.354298
4161,18.365755
4180,18.364323
4199,18.35013
4218,18.337109
4237,18.327213
4256,18.33763
4275,18.347527
4294,18.350521
4313,18.34427
4332,18.338932
4351,18.348438
4370,18.344011
4389,18.346874
4408,18.342838
4427,18.354818
4446,18.357422
4465,18.358072
4484,18.357422
4503,18.348307
4522,18.339453
4541,18.333073
4560,18.3375
4579,18.346874
4598,18.348438
4617,18.35026
4636,18.351301
4655,18.355078
4674,18.354427
4693,18.360807
4712,18.360287
4731,18.361979
4750,18.34948
4769,18.347918
4788,18.35026
4807,18.35716
4826,18.360807
4845,18.35703
4864,18.350521
4883,18.346874
4902,18.346615
4921,18.345182
4940,18.345312
4959,18.352345
4978,18.363672
4997,18.365496
5016,18.370312
5035,18.38112
5054,18.380598
5073,18.36159
5092,18.345053
5111,18.347136
5130,18.35625
5149,18.36172
5168,18.36237
5187,18.35026
5206,18.338673
5225,18.335808
5244,18.350391
5263,18.364714
5282,18.361849
5301,18.35534
5320,18.351433
5339,18.358854
5358,18.363672
5377,18.36224
5396,18.357422
5415,18.354687
5434,18.353645
5453,18.358072
5472,18.368229
5491,18.377344
5510,18.364323
5529,18.342838
5548,18.336979
5567,18.345703
5586,18.359766
5605,18.358072
5624,18.355598
5643,18.354298
5662,18.358854
5681,18.360678
5700,18.36888
5719,18.353516
5738,18.348959
5757,18.338152
5776,18.348698
5795,18.352995
5814,18.360807
5833,18.353516
5852,18.350521
5871,18.353645
5890,18.368359
5909,18.373959
5928,18.36341
5947,18.34961
5966,18.352865
5985,18.358463
6004,18.366667
6023,18.378386
6042,18.371355
6061,18.374739
6080,18.359896
6099,18.35716
6118,18.363152
6137,18.373829
6156,18.3819
6175,18.366276
6194,18.349089
6213,18.357813
6232,18.363152
6251,18.378124
6270,18.376041
6289,18.38073
6308,18.363932
6327,18.354166
6346,18.342188
6365,18.347786
6384,18.360937
6403,18.36862
6422,18.375
6441,18.379688
6460,18.36849
6479,18.36276
6498,18.348959
6517,18.336199
6536,18.339844
6555,18.334505
6574,18.35638
6593,18.345182
6612,18.347265
6631,18.348438
6650,18.35
6669,18.35065
6688,18.345053
6707,18.351301
6726,18.35664
6745,18.364063
6764,18.366016
6783,18.360157
6802,18.353386
6821,18.346354
6840,18.353907
6859,18.364063
6878,18.375912
6897,18.370703
6916,18.370052
6935,18.359505
6954,18.35638
6973,18.348047
6992,18.353516
7011,18.360546
7030,18.365105
7049,18.366537
7068,18.36927
7087,18.364584
7106,18.363802
7125,18.349348
7144,18.34974
7163,18.339193
7182,18.334635
7201,18.332031
7220,18.336067
7239,18.333464
7258,18.326954
7277,18.322786
7296,18.334896
7315,18.350521
7334,18.360678
7353,18.366016
7372,18.364714
7391,18.36849
7410,18.36875
7429,18.367708
7448,18.361067
7467,18.35612
7486,18.369923
7505,18.373829
7524,18.377735
7543,18.364584
7562,18.357813
7581,18.355078
7600,18.342838
7619,18.3375
7638,18.326302
7657,18.32578
7676,18.346485
7695,18.361067
7714,18.372656
7733,18.36914
7752,18.36263
7771,18.359636
7790,18.351433
7809,18.353777
7828,18.354166
7847,18.350912
7866,18.340755
7885,18.34388
7904,18.348438
7923,18.360807
7942,18.35716
7961,18.357422
7980,18.354687
7999,18.354948
8018,18.345964
8037,18.342709
8056,18.345182
8075,18.347395
8094,18.359636
8113,18.360678
8132,18.35612
8151,18.343359
8170,18.33789
8189,18.348568
8208,18.360157
8227,18.365496
8246,18.36862
8265,18.367317
8284,18.36849
8303,18.367058
8322,18.35651
8341,18.353645
8360,18.346745
8379,18.338673
8398,18.3375
8417,18.33724
8436,18.354166
8455,18.350521
8474,18.352604
8493,18.358463
8512,18.368359
8531,18.380077
8550,18.371876
8569,18.370052
8588,18.376432
8607,18.369923
8626,18.37448
8645,18.35534
8664,18.360157
8683,18.35716
8702,18.36289
8721,18.366146
8740,18.358072
8759,18.351301
8778,18.354166
8797,18.359766
8816,18.36914
8835,18.364452
8854,18.360546
8873,18.352865
8892,18.358725
8911,18.365496
8930,18.36237
8949,18.351824
8968,18.343359
8987,18.341927
9006,18.353125
9025,18.347918
9044,18.348959
9063,18.345182
9082,18.352734
9101,18.363932
9120,18.363281
9139,18.352865
9158,18.36172
9177,18.352083
9196,18.366405
9215,18.352865
9234,18.35716
9253,18.360546
9272,18.359245
9291,18.36211
9310,18.36276
9329,18.367838
9348,18.360287
9367,18.353907
9386,18.347656
9405,18.35065
9424,18.34948
9443,18.354427
9462,18.351562
9481,18.347395
9500,18.339323
9519,18.350391
9538,18.364193
9557,18.378124
9576,18.372526
9595,18.363543
9614,18.36888
9633,18.381771
9652,18.378256
9671,18.359896
9690,18.33776
9709,18.33112
9728,18.334505
9747,18.345312
9766,18.359896
9785,18.364452
9804,18.359766
9823,18.352865
9842,18.354557
9861,18.359114
9880,18.352083
9899,18.34961
9918,18.353907
9937,18.360287
9956,18.360546
9975,18.353125
9994,18.35534
10013,18.351301
10032,18.345312
10051,18.346615
10070,18.332422
10089,18.339323
10108,18.33672
10127,18.346485
10146,18.352474
10165,18.360678
10184,18.361067
10203,18.354687
10222,18.339193
10241,18.341536
10260,18.343359
10279,18.342709
10298,18.339844
10317,18.330599
10336,18.33034
10355,18.33216
10374,18.338282
10393,18.341015
10412,18.339453
10431,18.354818
10450,18.358984
10469,18.363152
10488,18.345312
10507,18.342318
10526,18.34427
10545,18.344921
10564,18.35586
10583,18.35625
10602,18.353645
10621,18.353125
10640,18.345573
10659,18.340626
10678,18.328125
10697,18.327475
10716,18.337109
10735,18.344662
10754,18.35026
10773,18.357422
10792,18.351692
10811,18.351042
10830,18.341667
10849,18.344141
10868,18.33724
10887,18.3444
10906,18.351954
10925,18.357683
10944,18.35573
10963,18.348959
10982,18.350391
11001,18.352604
11020,18.34987
11039,18.351433
11058,18.34948
11077,18.353386
11096,18.34961
11115,18.348568
11134,18.345312
11153,18.352345
11172,18.347527
11191,18.353645
11210,18.347527
11229,18.351301
11248,18.350912
11267,18.353645
11286,18.352865
11305,18.350912
11324,18.35065
11343,18.352345
11362,18.35599
11381,18.363543
11400,18.359896
11419,18.34974
11438,18.345442
11457,18.34427
11476,18.345964
11495,18.34987
11514,18.354166
11533,18.368229
11552,18.361067
11571,18.347136
11590,18.329296
11609,18.329296
11628,18.3444
11647,18.347395
11666,18.341406
11685,18.337109
11704,18.334766
11723,18.345053
11742,18.347656
11761,18.364714
11780,18.35013
11799,18.348047
11818,18.346094
11837,18.350912
11856,18.351042
11875,18.336329
11894,18.340626
11913,18.347656
11932,18.366537
11951,18.36901
11970,18.365625
11989,18.346615
12008,18.345182
12027,18.341797
12046,18.354557
12065,18.346745
12084,18.341146
12103,18.334766
12122,18.335287
12141,18.334114
12160,18.33776
12179,18.344921
12198,18.354557
12217,18.329557
12236,18.35716
12255,18.302343
12274,18.370443
12293,18.298046
12312,18.35599
12331,18.32526
12350,18.360937
12369,18.367317
12388,18.34427
12407,18.361198
12426,18.34362
12445,18.400652
12464,18.32487
12483,18.357683
12502,18.26328
12521,18.354427
12540,18.319921
12559,18.36302
12578,18.33177
12597,18.34948
12616,18.36888
12635,18.360807
12654,18.367838
12673,18.331902
12692,18.34323
12711,18.328125
12730,18.3444
12749,18.369532
12768,18.36289
12787,18.360937
12806,18.320312
12825,18.307682
12844,18.302734
12863,18.304558
12882,18.320704
12901,18.333464
12920,18.352474
12939,18.355469
12958,18.353125
12977,18.35638
12996,18.35599
13015,18.352865
13034,18.333723
13053,18.330599
13072,18.336067
13091,18.348827
13110,18.35625
13129,18.360287
13148,18.371355
13167,18.36914
13186,18.354948
13205,18.352865
13224,18.352604
13243,18.364452
13262,18.35586
13281,18.354036
13300,18.34427
13319,18.344662
13338,18.344662
13357,18.356901
13376,18.370312
13395,18.378906
13414,18.3681
13433,18.35586
13452,18.346354
13471,18.36172
13490,18.365234
13509,18.361979
13528,18.34961
13547,18.348698
13566,18.361067
13585,18.364843
13604,18.365496
13623,18.365625
13642,18.36276
13661,18.365234
13680,18.354298
13699,18.346615
13718,18.335676
13737,18.333855
13756,18.33776
13775,18.343359
13794,18.340105
13813,18.35
13832,18.345442
13851,18.348568
13870,18.340885
13889,18.339844
13908,18.339844
13927,18.326693
13946,18.335676
13965,18.328775
13984,18.338411
14003,18.338802
14022,18.35013
14041,18.36289
14060,18.351824
14079,18.339453
14098,18.33672
14117,18.33685
14136,18.354427
14155,18.341406
14174,18.349348
14193,18.348827
14212,18.340105
14231,18.336199
14250,18.320442
14269,18.32448
14288,18.319271
14307,18.31888
14326,18.32539
14345,18.336067
14364,18.359766
14383,18.375261
14402,18.379427
14421,18.3681
14440,18.348959
14459,18.336329
14478,18.33086
14497,18.33802
14516,18.342838
14535,18.329037
14554,18.332813
14573,18.332031
14592,18.344141
14611,18.341797
14630,18.345703
14649,18.345964
14668,18.34948
14687,18.341536
14706,18.352604
14725,18.355598
14744,18.36159
14763,18.360937
14782,18.355469
14801,18.364323
14820,18.35573
14839,18.353645
14858,18.355207
14877,18.359114
14896,18.36172
14915,18.355598
14934,18.356901
14953,18.354427
14972,18.343489
14991,18.338541
15010,18.340235
15029,18.345182
15048,18.352995
15067,18.354166
15086,18.35703
15105,18.354036
15124,18.351433
15143,18.3444
15162,18.335155
15181,18.332813
15200,18.3375
15219,18.3444
15238,18.340494
15257,18.344011
15276,18.35586
15295,18.372786
15314,18.376171
15333,18.371614
15352,18.365496
15371,18.369923
15390,18.360287
15409,18.358204
15428,18.348438
15447,18.338802
15466,18.336067
15485,18.326172
15504,18.341667
15523,18.357422
15542,18.364714
15561,18.36927
15580,18.36237
15599,18.36224
15618,18.361979
15637,18.350391
15656,18.344662
15675,18.33776
15694,18.332813
15713,18.338152
15732,18.338152
15751,18.35
15770,18.351171
15789,18.342838
15808,18.345442
15827,18.3444
15846,18.360157
15865,18.358204
15884,18.363672
15903,18.351171
15922,18.330599
15941,18.315624
15960,18.316927
15979,18.332422
15998,18.341797
16017,18.338411
16036,18.347265
16055,18.34427
16074,18.352865
16093,18.348307
16112,18.351301
16131,18.34362
16150,18.323177
16169,18.320704
16188,18.327475
16207,18.33177
16226,18.33802
16245,18.335808
16264,18.35078
16283,18.347136
16302,18.346354
16321,18.338802
16340,18.335546
16359,18.330078
16378,18.327213
16397,18.326822
16416,18.334896
16435,18.34362
16454,18.353645
16473,18.35
16492,18.342447
16511,18.339973
16530,18.335808
16549,18.334114
16568,18.334505
16587,18.335546
16606,18.339453
16625,18.323568
16644,18.33047
16663,18.33112
16682,18.326563
16701,18.327734
16720,18.336329
16739,18.361979
16758,18.351042
16777,18.348307
16796,18.335808
16815,18.338541
16834,18.336588
16853,18.335676
16872,18.341406
16891,18.355078
16910,18.359636
16929,18.361979
16948,18.353125
16967,18.358334
16986,18.35534
17005,18.353907
17024,18.353516
17043,18.356771
17062,18.351301
17081,18.352474
17100,18.358463
17119,18.353907
17138,18.342188
17157,18.335026
17176,18.3431
17195,18.352213
17214,18.360546
17233,18.35573
17252,18.345182
17271,18.34388
17290,18.35573
17309,18.367708
17328,18.358984
17347,18.35026
17366,18.351954
17385,18.360025
17404,18.367708
17423,18.364452
17442,18.347527
17461,18.35
17480,18.340755
17499,18.358593
17518,18.345833
17537,18.348959
17556,18.340626
17575,18.344921
17594,18.353516
17613,18.352604
17632,18.351433
17651,18.342579
17670,18.3375
17689,18.345964
17708,18.341146
17727,18.348568
17746,18.331902
17765,18.333984
17784,18.333073
17803,18.338541
17822,18.354036
17841,18.355207
17860,18.359636
17879,18.354818
17898,18.352604
17917,18.344791
17936,18.344921
17955,18.340494
17974,18.348438
17993,18.343489
18012,18.351562
18031,18.355078
18050,18.358463
18069,18.358334
18088,18.359896
18107,18.35716
18126,18.345833
18145,18.329037
18164,18.332031
18183,18.34362
18202,18.348047
18221,18.33034
18240,18.327604
18259,18.341015
18278,18.361849
18297,18.35703
18316,18.33685
18335,18.33685
18354,18.344662
18373,18.352995
18392,18.35534
18411,18.341797
18430,18.343489
18449,18.335546
18468,18.342968
18487,18.342579
18506,18.351171
18525,18.35625
18544,18.359375
18563,18.347265
18582,18.333464
18601,18.321224
18620,18.311197
18639,18.3194
18658,18.328386
18677,18.339844
18696,18.354948
18715,18.354036
18734,18.352345
18753,18.339582
18772,18.347006
18791,18.36302
18810,18.378515
18829,18.389584
18848,18.376303
18867,18.351692
18886,18.330078
18905,18.324219
18924,18.332293
18943,18.339193
18962,18.343359
18981,18.348438
19000,18.353777
19019,18.351562
19038,18.34987
19057,18.340626
19076,18.350912
19095,18.35065
19114,18.344532
19133,18.336067
19152,18.331902
19171,18.341797
19190,18.340105
19209,18.347006
19228,18.345312
19247,18.353907
19266,18.354036
19285,18.364584
19304,18.366796
19323,18.352995
19342,18.346094
19361,18.342709
19380,18.350391
19399,18.353645
19418,18.346745
19437,18.334635
19456,18.316015
19475,18.29909
19494,18.31302
19513,18.322004
19532,18.341015
19551,18.339582
19570,18.336979
19589,18.336067
19608,18.32448
19627,18.323048
19646,18.32461
19665,18.332943
19684,18.336979
19703,18.32591
19722,18.326563
19741,18.333464
19760,18.341667
19779,18.344662
19798,18.345573
19817,18.347395
19836,18.34948
19855,18.349348
19874,18.348047
19893,18.347786
19912,18.339714
19931,18.335546
19950,18.334766
19969,18.33672
19988,18.345833
20007,18.338932
20026,18.33763
20045,18.333984
20064,18.341406
20083,18.351301
20102,18.3431
20121,18.33685
20140,18.323957
20159,18.33789
20178,18.35026
20197,18.34948
20216,18.35065
20235,18.335808
20254,18.332552
20273,18.327734
20292,18.327084
20311,18.338152
20330,18.344532
20349,18.360287
20368,18.36159
20387,18.354687
20406,18.348827
20425,18.339714
20444,18.342447
20463,18.345182
20482,18.353254
20501,18.35703
20520,18.352213
20539,18.35716
20558,18.361198
20577,18.359766
20596,18.354298
20615,18.348959
20634,18.35651
20653,18.351692
20672,18.345442
20691,18.345573
20710,18.353516
20729,18.357552
20748,18.354036
20767,18.357292
20786,18.365496
20805,18.37565
20824,18.373959
20843,18.360807
20862,18.357813
20881,18.359375
20900,18.365105
20919,18.360937
20938,18.360025
20957,18.354948
20976,18.348047
20995,18.348047
21014,18.342447
21033,18.3444
21052,18.33789
21071,18.3431
21090,18.331902
21109,18.333723
21128,18.333593
21147,18.344662
21166,18.35078
21185,18.354166
21204,18.358072
21223,18.350391
21242,18.345964
21261,18.339844
21280,18.333464
21299,18.334635
21318,18.334246
21337,18.34427
21356,18.35026
21375,18.34961
21394,18.340626
21413,18.340626
21432,18.34362
21451,18.359636
21470,18.358334
21489,18.352604
21508,18.346094
21527,18.336329
21546,18.339582
21565,18.33789
21584,18.339714
21603,18.339582
21622,18.338802
21641,18.341276
21660,18.34427
21679,18.345182
21698,18.358334
21717,18.366016
21736,18.375
21755,18.377474
21774,18.3681
21793,18.352865
21812,18.346485
21831,18.352474
21850,18.354818
21869,18.347136
21888,18.327084
21907,18.319792
21926,18.318098
21945,18.332682
21964,18.335546
21983,18.340885
22002,18.347527
22021,18.357552
22040,18.354818
22059,18.357683
22078,18.360678
22097,18.351954
22116,18.338282
22135,18.328907
22154,18.332682
22173,18.344532
22192,18.348959
22211,18.351692
22230,18.341797
22249,18.35612
22268,18.35664
22287,18.357943
22306,18.344532
22325,18.342968
22344,18.358334
22363,18.352213
22382,18.36302
22401,18.356771
22420,18.360157
22439,18.350912
22458,18.3444
22477,18.340105
22496,18.340235
22515,18.34362
22534,18.354818
22553,18.36875
22572,18.36862
22591,18.358725
22610,18.342709
22629,18.326563
22648,18.320051
22667,18.327604
22686,18.346094
22705,18.357683
22724,18.354557
22743,18.343489
22762,18.348698
22781,18.35612
22800,18.366926
22819,18.367579
22838,18.364193
22857,18.351562
22876,18.347527
22895,18.344921
22914,18.35599
22933,18.358334
22952,18.36276
22971,18.359375
22990,18.351824
23009,18.338282
23028,18.342318
23047,18.353516
23066,18.360025
23085,18.359766
23104,18.35026
23123,18.34323
23142,18.35
23161,18.32448
23180,18.327995
23199,18.311197
23218,18.326693
23237,18.321095
23256,18.323437
23275,18.333334
23294,18.342709
23313,18.361849
23332,18.35716
23351,18.352213
23370,18.328646
23389,18.327995
23408,18.345573
23427,18.34362
23446,18.356771
23465,18.347918
23484,18.352083
23503,18.349089
23522,18.341146
23541,18.35599
23560,18.345442
23579,18.349218
23598,18.335417
23617,18.33685
23636,18.339323
23655,18.341667
23674,18.34948
23693,18.35026
23712,18.351171
23731,18.352604
23750,18.35078
23769,18.354557
23788,18.35586
23807,18.352213
23826,18.351824
23845,18.348438
23864,18.354298
23883,18.35612
23902,18.348827
23921,18.348959
23940,18.343359
23959,18.341927
23978,18.34323
23997,18.340755
24016,18.346874
24035,18.334505
24054,18.32409
24073,18.324219
24092,18.325651
24111,18.340494
24130,18.33724
24149,18.34961
24168,18.336458
24187,18.33216
24206,18.323437
24225,18.347527
24244,18.356771
24263,18.36211
24282,18.346485
24301,18.328907
24320,18.325521
24339,18.322657
24358,18.331902
24377,18.342188
24396,18.34948
24415,18.354948
24434,18.341146
24453,18.340105
24472,18.344141
24491,18.351562
24510,18.35716
24529,18.351954
24548,18.345182
24567,18.33125
24586,18.332031
