,Retention time,BS10%2/3,compounds,,ret time,factor,y-value1,factor,y-value2,line 118,line 85
11,22.41,76.39,20_n-C15,,5,47,16,-9,5,118,85
,26.58,92.31,29_n-C17,,6,53,20,0,5,118,85
,28.51,91.42,32_n-C18,,7,60,25,9,6,118,85
,30.35,81.13,36_n-C19,,8,67,30,19,8,118,85
12,15.55,47.49,3_i-C13,,9,73,36,28,11,118,85
,17.06,73.20,7_i-C14,,10,80,41,38,15,118,85
,25.56,102.62,26_Norpri,,11,87,47,47,20,118,85
,26.70,105.28,30_Pri,,12,93,53,57,27,118,85
,28.69,100.00,33_Phy,,13,100,59,66,33,118,85
,19.60,85.00,84_i-C15,,14,107,64,76,41,118,85
,21.57,91.62,93_i-C16,,15,113,70,85,49,118,85
13,21.48,80.97,16_Br-Alk 169-3,,16,120,75,95,56,118,85
,29.68,84.44,35_Br-Alk 225-3,,17,127,80,104,64,118,85
,19.45,68.41,82_Br-Alk-169-1,,18,133,84,114,72,118,85
,21.48,78.61,91_Br-Alk-169-2,,19,140,88,123,78,118,85
,27.96,101.72,106_Br-alk-225-1 ,,20,147,92,133,85,118,85
,29.58,84.40,108_Br-alk-225-2,,21,153,95,142,90,118,85
21,25.65,101.18,31_n-C11-CyC6,,22,160,97,152,94,118,85
,23.48,89.50,100_ n-C9-CyC6 ,,23,167,99,161,97,118,85
22,18.97,84.50,10_C3-de peak,,24,173,100,171,99,118,85
,10.89,44.80,68_De,,25,180,100,180,100,118,85
,12.55,55.59,70_C1-de_s,,26,187,100,189,100,118,85
,14.12,66.30,77_C2-de_s,,27,193,100,199,100,118,85
23,12.22,50.38,1_1-M-Adam,,28,200,100,208,100,118,85
,15.18,70.36,"2_1,2-DM-Adam",,29,207,100,218,100,118,85
,15.37,67.22,"5_c-1,3,4-TM-Adam",,30,213,100,227,100,118,85
,16.64,77.06,8_2-E-Adam,,31,220,100,237,100,118,85
,12.96,58.76,"69_1,3,5-TM-Adam",,32,227,100,246,100,118,85
,14.05,60.86,71_2-M-Adam,,33,233,100,256,100,118,85
,14.34,63.72,"73_c-1,4-DM-Adam",,34,240,100,265,100,118,85
