,RetentionTime Sample 1,Compounds,A,B,NormalisedToPhytane,% 2/3 After Normalisation
0,12.22,1_1-M-Adam,3004.0,14631.0,7371.690406451871,50.38405034824599
1,15.18,"2_1,2-DM-Adam",2723.0,9497.0,6682.128154716527,70.36041017917792
2,15.55,3_i-C13,2108.0,10892.0,5172.943867110701,47.49305790590067
3,15.46,4_2-M-Tetralin,8771.0,33691.0,21523.66729526943,63.88551035964925
4,15.37,"5_c-1,3,4-TM-Adam",1912.0,6980.0,4691.96806162982,67.22017280271949
5,16.66,6_C6_Benz,2352.0,11214.0,5771.709665770573,51.46878603326711
6,17.06,7_i-C14,7346.0,24627.0,18026.776872768125,73.19924015417276
7,16.64,8_2-E-Adam,2814.0,8961.0,6905.438350118365,77.06102388258414
8,18.6,9_BS1,7857.0,24363.0,19280.749508486137,79.13947177476557
9,18.97,10_C3-de peak,1031.0,2994.0,2530.030895157084,84.50336991172625
10,18.97,11_BS2,7802.0,22412.0,19145.781807968542,85.42647603055748
11,19.22,12_C7_Benz,3211.0,11882.0,7879.659752036272,66.31593799054261
12,19.54,13_B,11815.0,40797.0,28993.51602937046,71.06776485861818
13,19.87,14_2-E-N,14146.0,49696.0,34713.69257312523,69.85208582808521
14,20.13,"15_2,6+2,7-DM-N",60200.0,179836.0,147728.28311198493,82.14611263150033
15,21.48,16_Br-Alk 169-3,1371.0,4155.0,3364.376680174939,80.97176125571454
16,21.44,17_BS4,9467.0,25879.0,23231.622196364802,89.77016962156499
17,21.63,18_BS5,17642.0,50712.0,43292.73040966176,85.36979493938665
18,21.93,19_BS6,7168.0,19268.0,17589.972314729366,91.29111643517422
19,22.41,20_n-C15,5840.0,18760.0,14331.115836777275,76.39187546256544
20,23.29,21_BS8,6172.0,16965.0,15145.829956265297,89.27692281912937
21,23.44,22_BS9,4518.0,12764.0,11086.983107972555,86.86135308659162
22,23.61,23_m-C8-Tol,4701.0,12541.0,11536.05745696746,91.98674313824624
23,23.52,24_BS10,17139.0,46189.0,42058.389439473576,91.0571552522756
24,23.99,25_o-C8-Tol,1865.0,4728.0,4576.632026642057,96.79847772085569
25,25.56,26_Norpri,10083.0,24112.0,24743.26044216186,102.61803434871375
26,25.75,27_m-C9-Tol,4764.0,12008.0,11690.656823014886,97.35723536821192
27,26.03,28_C10_Benz,2940.0,8088.0,7214.637082213217,89.20174433992602
28,26.58,29_n-C17,139100.0,369777.0,341345.58439995185,92.31119956080336
29,26.7,30_Pri,51413.0,119838.0,126165.35248565582,105.27992163225007
30,25.65,31_n-C11-CyC6,21200.0,51418.0,52023.913654054486,101.17840766668188
31,28.51,32_n-C18,124564.0,334376.0,305674.84813224734,91.41650361636222
32,28.69,33_Phy,24923.0,61160.0,61160.0,100.0
33,29.32,34_4-M-Dbt,14588.0,39328.0,35798.34209364844,91.02507651965124
34,29.68,35_Br-Alk 225-3,1333.0,3874.0,3271.1262689082373,84.43795221755904
35,30.35,36_n-C19,1908.0,5771.0,4682.152228864904,81.13242469008671
36,30.11,37_1-M-Dbt,4047.0,10700.0,9931.168799903702,92.81466168134301
37,30.18,38_2-M-Phe,54065.0,149248.0,132673.2496087951,88.89449078633892
38,30.6,39_FAME 16:0,,,,0.0001
39,30.6,40_1-M-Phe,30014.0,80931.0,73653.10115154677,91.00727922742432
40,31.53,41_C2-dbt_s,167977.0,446362.0,412208.53508807125,92.34848286549285
41,32.52,42_C2-phe_s,752533.0,1932144.0,1846684.5195201219,95.57696111263559
42,33.76,43_FAME 18:0,,,,0.0001
43,34.92,44_2-M-Fl,3193.0,8435.0,7835.48850459415,92.89257266857321
44,35.3,45_C15-Benz,1482.0,4397.0,3636.766039401356,82.71016691838427
45,35.37,46_BaF,8532.0,23533.0,20937.171287565703,88.96941013710833
46,35.51,47_Retene,,,,0.0001
47,35.73,48_2-M-Py,22887.0,61353.0,56163.74112265779,91.541963918077
48,36.1,49_4-M-Py,25649.0,68213.0,62941.57364683225,92.2721089042151
49,36.21,50_1-M-Py,21511.0,57900.0,52787.094651526706,91.16942081438118
50,36.84,51_C23Tr,6731.0,16812.0,16517.5925851623,98.24882575043004
51,37.66,52_C24Tr,4225.0,10721.0,10367.973357942463,96.70714819459438
52,38.46,53_C17-Benz,872.0,2586.0,2139.851542751675,82.7475461234213
53,43.96,54_27bbR+S,5440.0,14468.0,13349.53256028568,92.26937075121425
54,44.65,55_27Ts,12342.0,32001.0,30286.751996148138,94.64314238976324
55,45.12,56_SC26 TA,,,,0.0001
56,45.14,57_27Tm,9245.0,24025.0,22686.843477911967,94.4301497519749
57,46.0,58_RC26TA+SC27 TA,7157.0,21171.0,17562.978774625848,82.95771940213427
58,46.25,59_29bbR+S,4924.0,13416.0,12083.290133611525,90.06626515810618
59,46.44,60_28ab,11192.0,28121.0,27464.700076234803,97.66615723564169
60,46.71,61_SC28 TA,,,,0.0001
61,46.78,62_29ab,34904.0,85813.0,85652.9567066565,99.81349761301495
62,47.63,63_30O,5240.0,14731.0,12858.740922039884,87.29034635829126
63,47.78,64_30ab,73370.0,184207.0,180046.91249047066,97.74162354876344
64,47.95,65_RC28 TA,3722.0,10687.0,9133.632387754282,85.46488619588548
65,48.93,66_31abS,22542.0,56313.0,55317.12554668379,98.2315372057674
66,49.24,67_30G,9498.0,28514.0,23307.694900292903,81.74123202740023
67,10.89,68_De,3111.0,17040.0,7634.263932913373,44.80201838564186
68,12.96,"69_1,3,5-TM-Adam",1196.0,4995.0,2934.9339967098663,58.7574373715689
69,12.55,70_C1-de_s,34896.0,154033.0,85633.32504112666,55.594142191041314
70,14.05,71_2-M-Adam,1888.0,7613.0,4633.073065040324,60.857389531594954
71,13.99,72_Tetralin,5877.0,33534.0,14421.912289852748,43.00683571853267
72,14.34,"73_c-1,4-DM-Adam",2376.0,9151.0,5830.60466236007,63.71549188460353
73,14.56,74_N,11772.0,278264.0,28887.995827147617,10.381506708430704
74,14.48,"75_tr-1,4-DM-Adam",2278.0,8763.0,5590.116759619629,63.79227159214457
75,14.68,"76_1,3,6-TM-Adam",1791.0,6719.0,4395.039120491113,65.41210180817254
76,14.12,77_C2-de_s,57286.0,212041.0,140577.44894274365,66.2972957789973
77,15.49,"78_tr-1,3,4-TM-Adam",2014.0,7191.0,4942.271797135176,68.7285745673088
78,15.61,"79_1,2,5,7-TeM-Adam ",1387.0,4784.0,3403.6400112346023,71.14632130507113
79,17.93,80_1-M-N,63106.0,387203.0,154859.48561569632,39.99439198965306
80,18.99,81_m-C6-Tol,4763.0,16487.0,11688.202864823657,70.89344856446691
81,19.45,82_Br-Alk-169-1,2097.0,7522.0,5145.950327007182,68.41199583896812
82,19.36,83_ o-C6-Tol,1725.0,4977.0,4233.07787987,85.05280047960619
83,19.6,84_i-C15,6187.0,17862.0,15182.639329133732,84.99966033553764
84,20.46,"85_1,3+1,7-DM-N",84588.0,242398.0,207575.4154796774,85.63412877980734
85,20.54,"86_1,6-DM-N",70587.0,208515.0,173217.54684428038,83.07198371545472
86,20.6,87_BS3,11885.0,31752.0,29165.293102756492,91.85340483357423
87,20.13,88_C2-bt_s,28256.0,84859.0,69339.0426513662,81.71088823974615
88,21.1,89_ANY,,,,0.0001
89,21.36,90_m-C7-Tol,4866.0,14940.0,11940.960558520243,79.92610815609267
90,21.48,91_Br-Alk-169-2,1331.0,4155.0,3266.218352525779,78.60934663118601
91,21.26,"92_1,2 -DM-N",15395.0,46252.0,37778.68635397023,81.6801140577061
92,21.57,93_i-C16,11301.0,30269.0,27732.181519078764,91.61908724793936
93,21.73,94_ o-C7-Tol,1887.0,5392.0,4630.619106849095,85.87943447420429
94,22.51,95_ Diam,,,,0.0001
95,22.65,96_FAME 12:0,,,,0.0001
96,22.79,97_4-M-Diam,,,,0.0001
97,22.86,"98_1,3,7-TM-N",36195.0,98222.0,88821.01673153312,90.42884153400779
98,22.96,"99_1,3,6-TM-N",45356.0,120919.0,111301.72772138186,92.0465168595356
99,23.48,100_ n-C9-CyC6 ,18500.0,50722.0,45398.22653773623,89.50401509746506
100,28.15,101_ o-C9-Tol,1455.0,3651.0,3570.5091682381735,97.7953757391995
101,26.26,102_8H-A,,,,0.0001
102,26.54,103_1-M-F,14613.0,39902.0,35859.69104842916,89.86940766986406
103,26.56,104_8H-Phe,,,,0.0001
104,26.76,105_FAME 14:0,,,,0.0001
105,27.96,106_Br-alk-225-1 ,1620.0,3908.0,3975.412269790956,101.72498131501935
106,28.89,107_C2-f_s,149639.0,402424.0,367207.8497773141,91.2489935434552
107,29.58,108_Br-alk-225-2,649.0,1887.0,1592.6188661076114,84.39951595694814
108,31.55,109_m-C11-Tol,2282.0,5893.0,5599.9325923845445,95.02685546215075
109,30.01,110_C12-Benz,2409.0,6029.0,5911.585282670626,98.05250095655376
110,31.93,111_o-C11-Tol,1396.0,3709.0,3425.7256349556633,92.36251374914163
111,30.07,112_FAME 16:1,,,,0.0001
112,30.34,113_2-M-A,10815.0,31127.0,26539.557838141474,85.2621770107671
113,31.75,114_1-E-Phe,4855.0,13647.0,11913.967018416723,87.30099669097034
114,32.62,"115_1,7 DM-Phe",35630.0,98926.0,87434.53035348875,88.38377206547192
115,33.12,116_C3-dbt_s,140546.0,420505.0,344894.00794446893,82.01900285239627
116,33.37,117_FAME 18:2,,,,0.0001
117,33.37,118_FAME 18:1 + 18:3,,,,0.0001
