,,,,1,,2,,3,,4
1_1-M-Adam,135,H,12.22,26414,12.22,3004,12.22,14631,12.22,23763
"2_1,2-DM-Adam",149,H,15.18,17969,15.18,2723,15.17,9497,15.17,12903
3_i-C13,113,H,15.56,37058,15.55,2108,15.55,10892,15.55,14144
4_2-M-Tetralin,104,H,15.46,33278,15.46,8771,15.46,33691,15.46,41435
"5_c-1,3,4-TM-Adam",163,H,15.38,10710,15.37,1912,15.37,6980,15.37,8799
6_C6_Benz,92,H,16.67,20020,16.66,2352,16.66,11214,16.66,13585
7_i-C14,113,H,17.08,72567,17.06,7346,17.06,24627,17.07,29544
8_2-E-Adam,135,H,16.64,22269,16.64,2814,16.63,8961,16.63,11100
9_BS1,179,H,18.6,29641,18.6,7857,18.6,24363,18.6,28287
10_C3-de peak,180,H,19.03,9980,18.97,1031,18.97,2994,18.97,3510
11_BS2,179,H,18.98,27924,18.97,7802,18.97,22412,18.97,26834
12_C7_Benz,92,H,19.23,22895,19.22,3211,19.22,11882,19.22,13618
13_B,154,H,19.54,223399,19.54,11815,19.54,40797,19.54,47005
14_2-E-N,156,H,19.88,186172,19.87,14146,19.87,49696,19.87,58014
"15_2,6+2,7-DM-N",156,H,20.13,540515,20.13,60200,20.12,179836,20.13,207141
16_Br-Alk 169-3,169,H,21.49,8793,21.48,1371,21.48,4155,21.48,4793
17_BS4,123,H,21.45,26918,21.44,9467,21.44,25879,21.44,30030
18_BS5,123,H,21.64,53157,21.63,17642,21.63,50712,21.63,56411
19_BS6,123,H,21.94,21948,21.93,7168,21.93,19268,21.93,22091
20_n-C15,169,H,22.43,31786,22.41,5840,22.42,18760,22.42,19969
21_BS8,193,H,23.3,18936,23.29,6172,23.29,16965,23.29,17886
22_BS9,193,H,23.45,15614,23.44,4518,23.44,12764,23.44,14553
23_m-C8-Tol,106,H,23.62,24840,23.61,4701,23.6,12541,23.61,14095
24_BS10,123,H,23.54,66133,23.52,17139,23.53,46189,23.53,50632
25_o-C8-Tol,106,H,23.99,17626,23.99,1865,23.99,4728,23.99,5663
26_Norpri,113,H,25.57,63614,25.56,10083,25.56,24112,25.56,28220
27_m-C9-Tol,106,H,25.75,22991,25.75,4764,25.75,12008,25.75,12949
28_C10_Benz,92,H,26.04,21824,26.03,2940,26.03,8088,26.03,9049
29_n-C17,85,H,26.6,688248,26.58,139100,26.58,369777,26.59,395475
30_Pri,85,H,26.72,206453,26.7,51413,26.7,119838,26.7,127089
31_n-C11-CyC6,83,H,25.66,117923,25.65,21200,25.65,51418,25.48,56759
32_n-C18,85,H,28.53,653757,28.51,124564,28.51,334376,28.51,372161
33_Phy,85,H,28.71,246248,28.69,24923,28.69,61160,28.69,67967
34_4-M-Dbt,198,H,29.33,117728,29.32,14588,29.32,39328,29.32,41858
35_Br-Alk 225-3,225,H,29.69,9694,29.68,1333,29.68,3874,29.68,4005
36_n-C19,225,H,30.37,14329,30.35,1908,30.35,5771,30.36,6705
37_1-M-Dbt,198,H,30.12,41031,30.11,4047,30.11,10700,30.11,11895
38_2-M-Phe,192,H,30.19,244375,30.18,54065,30.18,149248,30.18,159678
39_FAME 16:0,74,H,30.62,,30.6,,30.61,,30.6,
40_1-M-Phe,192,H,30.62,143617,30.6,30014,30.61,80931,30.61,85740
41_C2-dbt_s,212,A,31.15,1005101,31.53,167977,31.53,446362,31.53,486750
42_C2-phe_s,206,A,32.53,2641276,32.52,752533,32.52,1932144,32.52,2077735
43_FAME 18:0,74,H,33.77,,33.76,,33.76,,33.76,
44_2-M-Fl,216,H,34.93,6858,34.92,3193,34.93,8435,34.93,8941
45_C15-Benz,92,H,35.31,61358,35.3,1482,35.3,4397,35.3,5067
46_BaF,216,H,35.39,27340,35.37,8532,35.38,23533,35.38,26693
47_Retene,219,H,35.54,,35.51,,35.52,,35.51,
48_2-M-Py,216,H,35.75,35917,35.73,22887,35.74,61353,35.74,67209
49_4-M-Py,216,H,36.12,39619,36.1,25649,36.11,68213,36.11,72192
50_1-M-Py,216,H,36.22,28156,36.21,21511,36.21,57900,36.21,63642
51_C23Tr,191,H,36.86,14544,36.84,6731,36.85,16812,36.84,18423
52_C24Tr,191,H,37.67,10184,37.66,4225,37.66,10721,37.66,11644
53_C17-Benz,92,H,38.47,8792,38.46,872,38.46,2586,38.45,3011
54_27bbR+S,218,H,43.98,15515,43.96,5440,43.96,14468,43.96,16089
55_27Ts,191,H,44.67,24582,44.65,12342,44.66,32001,44.66,33622
56_SC26 TA,231,H,45.14,14931,45.12,,45.13,,45.13,
57_27Tm,191,H,45.15,31738,45.14,9245,45.14,24025,45.14,27059
58_RC26TA+SC27 TA,231,H,46.01,45678,46,7157,46,21171,46,23224
59_29bbR+S,218,H,46.26,19008,46.25,4924,46.25,13416,46.25,14619
60_28ab,191,H,46.45,10860,46.44,11192,46.45,28121,46.45,30365
61_SC28 TA,231,H,46.72,29288,46.71,,46.72,,46.71,
62_29ab,191,H,46.8,70008,46.78,34904,46.78,85813,46.79,92777
63_30O,191,H,47.64,10976,47.63,5240,47.63,14731,47.63,15899
64_30ab,191,H,47.79,141141,47.78,73370,47.78,184207,47.78,201195
65_RC28 TA,231,H,47.97,31350,47.95,3722,47.95,10687,47.95,11853
66_31abS,191,H,48.94,59191,48.93,22542,48.93,56313,48.93,62061
67_30G,191,H,49.24,32337,49.24,9498,49.24,28514,49.24,32034
68_De,138,H,10.89,87488,10.89,3111,10.89,17040,10.89,31846
"69_1,3,5-TM-Adam",163,H,12.96,6258,12.96,1196,12.96,4995,12.96,7132
70_C1-de_s,152,A,13.01,478308,12.55,34896,12.55,154033,12.55,232498
71_2-M-Adam,135,H,14.05,18098,14.05,1888,14.05,7613,14.05,11042
72_Tetralin,104,H,13.99,67339,13.99,5877,13.99,33534,13.99,47213
"73_c-1,4-DM-Adam",149,H,14.34,16872,14.34,2376,14.34,9151,14.34,12749
74_N,128,H,14.57,1536594,14.56,11772,14.56,278264,14.56,377219
"75_tr-1,4-DM-Adam",149,H,14.49,15269,14.48,2278,14.48,8763,14.48,12295
"76_1,3,6-TM-Adam",163,H,14.68,12173,14.68,1791,14.68,6719,14.68,8736
77_C2-de_s,166,A,14.51,468007,14.12,57286,14.11,212041,14.12,292532
