,RetentionTime Sample 1,Compounds,A,B,NormalisedToPhytane,% 2/3 After Normalisation
0,12.22,1_1-M-Adam,3004.0,23763.0,8192.146531316454,34.47437836685795
1,15.18,"2_1,2-DM-Adam",2723.0,12903.0,7425.837218633391,57.55124559120662
2,15.55,3_i-C13,2108.0,14144.0,5748.683384825262,40.64397189497498
3,15.46,4_2-M-Tetralin,8771.0,41435.0,23919.213457448943,57.72707483395425
4,15.37,"5_c-1,3,4-TM-Adam",1912.0,8799.0,5214.175821530313,59.25873191874433
5,16.66,6_C6_Benz,2352.0,13585.0,6414.090759539381,47.21450687920045
6,17.06,7_i-C14,7346.0,29544.0,20033.1253059423,67.80776234071995
7,16.64,8_2-E-Adam,2814.0,11100.0,7674.0014444489025,69.1351481481883
8,18.6,9_BS1,7857.0,28287.0,21426.662881675562,75.7473853065916
9,18.97,10_C3-de peak,1031.0,3510.0,2811.6188661076117,80.10310159850745
10,18.97,11_BS2,7802.0,26834.0,21276.673514424427,79.2899810480153
11,19.22,12_C7_Benz,3211.0,13618.0,8756.651968061631,64.3020411812427
12,19.54,13_B,11815.0,47005.0,32220.443164948043,68.54684217625368
13,19.87,14_2-E-N,14146.0,58014.0,38577.26525699154,66.49647543177774
14,20.13,"15_2,6+2,7-DM-N",60200.0,207141.0,164170.18015487705,79.25528029452259
15,21.48,16_Br-Alk 169-3,1371.0,4793.0,3738.825863660073,78.00596419069629
16,21.44,17_BS4,9467.0,30030.0,25817.26072302692,85.97156417924383
17,21.63,18_BS5,17642.0,56411.0,48111.13485535449,85.28679664489991
18,21.93,19_BS6,7168.0,22091.0,19547.70517192954,88.48719013140891
19,22.41,20_n-C15,5840.0,19969.0,15926.14372266581,79.75433783697636
20,23.29,21_BS8,6172.0,17886.0,16831.534084981744,94.10451797485041
21,23.44,22_BS9,4518.0,14553.0,12320.944749829474,84.66257644354754
22,23.61,23_m-C8-Tol,4701.0,14095.0,12820.000280865064,90.95424108453399
23,23.52,24_BS10,17139.0,50632.0,46739.41391485776,92.31200409791784
24,23.99,25_o-C8-Tol,1865.0,5663.0,5086.003089515709,89.81110876771515
25,25.56,26_Norpri,10083.0,28220.0,27497.14163623962,97.43848914330128
26,25.75,27_m-C9-Tol,4764.0,12949.0,12991.806283352726,100.33057597770274
27,26.03,28_C10_Benz,2940.0,9049.0,8017.613449424227,88.60220410458865
28,26.58,29_n-C17,139100.0,395475.0,379336.74517513945,95.91927307039369
29,26.7,30_Pri,51413.0,127089.0,140207.33342695504,110.3221627575597
30,25.65,31_n-C11-CyC6,21200.0,56759.0,57814.08337680055,101.85888295565557
31,28.51,32_n-C18,124564.0,372161.0,339695.91895036714,91.27660312347804
32,28.69,33_Phy,24923.0,67967.0,67967.0,100.0
33,29.32,34_4-M-Dbt,14588.0,41858.0,39782.634353809735,95.04189008985077
34,29.68,35_Br-Alk 225-3,1333.0,4005.0,3635.1968462865625,90.76646307831616
35,30.35,36_n-C19,1908.0,6705.0,5203.267503912049,77.60279647892689
36,30.11,37_1-M-Dbt,4047.0,11895.0,11036.490350278858,92.78260067489582
37,30.18,38_2-M-Phe,54065.0,159678.0,147439.5480078642,92.33554278476947
38,30.6,39_FAME 16:0,,,,0.0001
39,30.6,40_1-M-Phe,30014.0,85740.0,81850.56124864583,95.46368235204785
40,31.53,41_C2-dbt_s,167977.0,486750.0,458086.61714079365,94.11127213986515
41,32.52,42_C2-phe_s,752533.0,2077735.0,2052217.2455563133,98.77184749529239
42,33.76,43_FAME 18:0,,,,0.0001
43,34.92,44_2-M-Fl,3193.0,8941.0,8707.564538779441,97.38915712760812
44,35.3,45_C15-Benz,1482.0,5067.0,4041.531677566906,79.76182509506427
45,35.37,46_BaF,8532.0,26693.0,23267.441479757654,87.16682830613888
46,35.51,47_Retene,,,,0.0001
47,35.73,48_2-M-Py,22887.0,67209.0,62414.666332303495,92.86653027467081
48,36.1,49_4-M-Py,25649.0,72192.0,69946.85964771497,96.89004273010163
49,36.21,50_1-M-Py,21511.0,63642.0,58662.20507162059,92.1753010144568
50,36.84,51_C23Tr,6731.0,18423.0,18355.971472134173,99.6361693108298
51,37.66,52_C24Tr,4225.0,11644.0,11521.910484291619,98.95148131476827
52,38.46,53_C17-Benz,872.0,3011.0,2378.0132407816072,78.97752377222209
53,43.96,54_27bbR+S,5440.0,16089.0,14835.311960839384,92.20779390166813
54,44.65,55_27Ts,12342.0,33622.0,33657.61401115436,100.10592472534161
55,45.12,56_SC26 TA,,,,0.0001
56,45.14,57_27Tm,9245.0,27059.0,25211.849095213256,93.17361726306683
57,46.0,58_RC26TA+SC27 TA,7157.0,23224.0,19517.70729847932,84.04110962142319
58,46.25,59_29bbR+S,4924.0,14619.0,13428.138988083298,91.8540186612169
59,46.44,60_28ab,11192.0,30365.0,30521.472695903383,100.51530609551583
60,46.71,61_SC28 TA,,,,0.0001
61,46.78,62_29ab,34904.0,92777.0,95185.97953697389,102.59652665744085
62,47.63,63_30O,5240.0,15899.0,14289.896079926173,89.87921303180184
63,47.78,64_30ab,73370.0,201195.0,200085.81591301208,99.4487019622814
64,47.95,65_RC28 TA,3722.0,11853.0,10150.189543794888,85.633928488947
65,48.93,66_31abS,22542.0,62061.0,61473.82393772821,99.05387270222556
66,49.24,67_30G,9498.0,32034.0,25901.800184568474,80.85721478606628
67,10.89,68_De,3111.0,31846.0,8483.944027605023,26.6405326496421
68,12.96,"69_1,3,5-TM-Adam",1196.0,7132.0,3261.586967861012,45.731729779318734
69,12.55,70_C1-de_s,34896.0,232498.0,95164.16290173735,40.931174849563156
70,14.05,71_2-M-Adam,1888.0,11042.0,5148.725915820728,46.628562903647236
71,13.99,72_Tetralin,5877.0,47213.0,16027.045660634756,33.946255608910164
72,14.34,"73_c-1,4-DM-Adam",2376.0,12749.0,6479.540665248967,50.8239129755194
73,14.56,74_N,11772.0,377219.0,32103.178750551702,8.510488270885533
74,14.48,"75_tr-1,4-DM-Adam",2278.0,12295.0,6212.286883601493,50.52693683287103
75,14.68,"76_1,3,6-TM-Adam",1791.0,8736.0,4884.19921357782,55.90887378179739
76,14.12,77_C2-de_s,57286.0,292532.0,156223.47076997152,53.40389111959427
77,15.49,"78_tr-1,3,4-TM-Adam",2014.0,9098.0,5492.337920796052,60.368629597670385
78,15.61,"79_1,2,5,7-TeM-Adam ",1387.0,5889.0,3782.4591341331297,64.22922625459552
79,17.93,80_1-M-N,63106.0,467769.0,172095.072904546,36.79061094355248
80,18.99,81_m-C6-Tol,4763.0,18744.0,12989.07920394816,69.29726421227144
81,19.45,82_Br-Alk-169-1,2097.0,8938.0,5718.685511375034,63.981713038431806
82,19.36,83_ o-C6-Tol,1725.0,5859.0,4704.21197287646,80.29035625322513
83,19.6,84_i-C15,6187.0,20521.0,16872.440276050234,82.2203609768054
84,20.46,"85_1,3+1,7-DM-N",84588.0,279046.0,230678.19267343418,82.66672615749165
85,20.54,"86_1,6-DM-N",70587.0,234904.0,192496.35393010473,81.94681824494462
86,20.6,87_BS3,11885.0,38489.0,32411.338723267665,84.2093552008825
87,20.13,88_C2-bt_s,28256.0,102967.0,77056.35565541868,74.83597235562722
88,21.1,89_ANY,,,,0.0001
89,21.36,90_m-C7-Tol,4866.0,17179.0,13269.968382618465,77.2452900786918
90,21.48,91_Br-Alk-169-2,1331.0,4793.0,3629.7426874774305,75.73007902101878
91,21.26,"92_1,2 -DM-N",15395.0,51892.0,41983.38743329455,80.90531764683294
92,21.57,93_i-C16,11301.0,34472.0,30818.724351001085,89.40219410246311
93,21.73,94_ o-C7-Tol,1887.0,6021.0,5145.998836416162,85.46751098515466
94,22.51,95_ Diam,,,,0.0001
95,22.65,96_FAME 12:0,,,,0.0001
96,22.79,97_4-M-Diam,,,,0.0001
97,22.86,"98_1,3,7-TM-N",36195.0,111301.0,98706.63904826867,88.6844134808031
98,22.96,"99_1,3,6-TM-N",45356.0,138625.0,123689.41347349838,89.22590692407456
99,23.48,100_ n-C9-CyC6 ,18500.0,60630.0,50450.96898447217,83.21123038837568
100,28.15,101_ o-C9-Tol,1455.0,3740.0,3967.9005336436226,106.0935971562466
101,26.26,102_8H-A,,,,0.0001
102,26.54,103_1-M-F,14613.0,43426.0,39850.811338923886,91.76717021812712
103,26.56,104_8H-Phe,,,,0.0001
104,26.76,105_FAME 14:0,,,,0.0001
105,27.96,106_Br-alk-225-1 ,1620.0,4291.0,4417.868635397022,102.95662165921749
106,28.89,107_C2-f_s,149639.0,473437.0,408077.43501986115,86.19466476423709
107,29.58,108_Br-alk-225-2,649.0,2133.0,1769.8745335633753,82.97583373480428
108,31.55,109_m-C11-Tol,2282.0,7074.0,6223.195201219757,87.97279051766691
109,30.01,110_C12-Benz,2409.0,6270.0,6569.534285599647,104.77726133332769
110,31.93,111_o-C11-Tol,1396.0,3885.0,3807.0028487742247,97.99235131979987
111,30.07,112_FAME 16:1,,,,0.0001
112,30.34,113_2-M-A,10815.0,33767.0,29493.363760381973,87.34374910528615
113,31.75,114_1-E-Phe,4855.0,14832.0,13239.970509168237,89.26625208446762
114,32.62,"115_1,7 DM-Phe",35630.0,103714.0,97165.83918468884,93.68632892829207
115,33.12,116_C3-dbt_s,140546.0,452307.0,383280.10199414194,84.7389277623698
116,33.37,117_FAME 18:2,,,,0.0001
117,33.37,118_FAME 18:1 + 18:3,,,,0.0001
118,33.97,120_C21Tr,,,,0.0001
119,34.51,121_C3-phe_s,684851.0,1914676.0,1867643.057296473,97.54355605316373
120,36.89,122_C4-phe_s,363726.0,1073060.0,991909.683505196,92.4374856490034
121,36.81,123_FAME 20:1,,,,0.0001
