,Compounds,A,B,mean,absoluteDifference,relativeDifference%,14%flag
0,"NR-1-M-Adam/1,2-DM-Adam",110.31950055086301,154.05917658207855,132.18933856647078,43.73967603121554,33.088656396613445,1
1,NR-1-M-Adam/2-E-Adam,106.75195451314853,163.27418814864413,135.01307133089634,56.522233635495596,41.86426771743327,1
2,NR-i-C13/2-M-Tetralin,24.03374757724319,32.329108664034905,28.181428120639048,8.295361086791715,29.43555965751961,1
3,"NR-c-1,3,4-TM-Adam/2-E-Adam",67.94598436389481,77.89309228880705,72.91953832635093,9.947107924912245,13.641210782758971,0
4,NR-C6_Benz/C7_Benz,73.24820928059795,94.37805083319306,83.8131300568955,21.12984155259511,25.2106579699999,1
5,NR-2-E-Adam/i-C14,38.306561393955896,36.386892435132175,37.346726914544035,1.9196689588237206,5.140126370956858,0
6,NR-BS1/BS2,100.70494744937196,108.70515795109763,104.7050527002348,8.000210501725675,7.640711021491836,0
7,NR-C3-de peak/BS2,13.21456036913612,13.358914867035518,13.28673761808582,0.14435449789939803,1.0864555472436186,0
8,NR-B/2-E-N,83.52184363070833,82.09312620734063,82.80748491902449,1.4287174233677007,1.7253481672155724,0
9,"NR-2-E-N/2,6+2,7-DM-N",23.498338870431894,27.634066594007873,25.566202732219885,4.135727723575979,16.176542785385628,1
10,NR-BS4/BS5,53.661716358689496,51.03131408739549,52.34651522304249,2.6304022712940096,5.024980669842429,0
11,NR-Br-Alk 169-3/n-C15,23.476027397260275,22.14818763326226,22.812107515261268,1.3278397639980142,5.820767603824817,0
12,NR-BS5/BS6,246.12165178571428,263.19285862570064,254.65725520570746,17.07120683998636,6.703601209475282,0
13,NR-BS8/BS9,136.6091190792386,132.9128799749295,134.76099952708404,3.6962391043091145,2.742810692470599,0
14,NR-m-C8-Tol/o-C8-Tol,252.0643431635389,265.2495769881557,258.6569600758473,13.185233824616802,5.097575499515044,0
15,NR-BS10/Norpri,169.9791728652187,191.56021897810217,180.76969592166043,21.581046112883485,11.938420321421567,0
16,NR-Norpri/m-C9-Tol,211.6498740554156,200.79946702198535,206.22467053870048,10.850407033430258,5.261449566187597,0
17,NR-C10_Benz/n-C11-CyC6,13.867924528301886,15.729900035007196,14.798912281654541,1.8619755067053099,12.581840281690878,0
18,NR-n-C17/Pri,270.55414000350106,308.56406148300204,289.5591007432515,38.009921479500974,13.126826745191442,0
19,NR-Pri/Phy,206.28736508446016,195.94179202092872,201.11457855269444,10.345573063531447,5.14411890872485,0
20,NR-n-C18/Phy,499.7953697387955,546.7233485938522,523.2593591663239,46.927978855056665,8.968397417644674,0
21,NR-4-M-Dbt/1-M-Dbt,360.4645416357796,367.5514018691589,364.00797175246925,7.086860233379298,1.9468969866952437,0
22,NR-Br-Alk 225-3/n-C19,69.86373165618448,67.12874718419684,68.49623942019066,2.7349844719876444,3.9928972672643575,0
23,NR-2-M-Phe/1-M-Phe,180.13260478443394,184.41388343156515,182.27324410799955,4.2812786471312165,2.3488245178730107,0
24,NR-FAME 16:0/FAME 18:0,0.0001,0.0001,0.0001,0.0,0.0,0
25,NR-C2-dbt_s/C2-phe_s,22.32154603186837,23.101901307562997,22.71172366971568,0.7803552756946281,3.4359139228836746,0
26,NR-2-M-Fl/4-M-Py,12.448828414363133,12.36567809655051,12.407253255456823,0.08315031781262228,0.6701750669597399,0
27,NR-C15-Benz/C17-Benz,169.95412844036696,170.030935808198,169.9925321242825,0.07680736783103725,0.045182789426821975,0
28,NR-BaF/4-M-Py,33.264454754571325,34.499288991834405,33.88187187320287,1.2348342372630796,3.6445277931639564,0
29,NR-Retene/29bbR+S,0.0001,0.0001,0.0001,0.0,0.0,0
30,NR-2-M-Py/4-M-Py,89.23154898826465,89.94326594637386,89.58740746731925,0.7117169581092071,0.7944386138965296,0
31,NR-1-M-Py/4-M-Py,83.86681741978245,84.881181006553,84.37399921316774,1.014363586770557,1.2022229552113626,0
32,NR-C23Tr/C24Tr,159.31360946745562,156.81373006249416,158.0636697649749,2.4998794049614617,1.5815648268058917,0
33,NR-27bbR+S/29bbR+S,110.47928513403737,107.84138342277878,109.16033427840807,2.6379017112585927,2.4165386893473175,0
34,NR-27Ts/30ab,16.821589205397302,17.37230398410484,17.09694659475107,0.5507147787075368,3.221129431828556,0
35,NR-SC26 TA/RC26TA+SC27 TA,0.0001,0.0001,0.0001,0.0,0.0,0
36,NR-27Tm/30ab,12.600517922856753,13.042392525799778,12.821455224328265,0.4418746029430256,3.4463685690262675,0
37,NR-28ab/30ab,15.254191086275043,15.265977948720732,15.260084517497887,0.01178686244568894,0.07723982414496855,0
38,NR-SC28 TA/RC26TA+SC27 TA,0.0001,0.0001,0.0001,0.0,0.0,0
39,NR-29ab/30ab,47.572577347689794,46.58509177175677,47.07883455972328,0.9874855759330217,2.097514913374325,0
40,NR-30O/30ab,7.14188360365272,7.996981656505995,7.5694326300793575,0.8550980528532754,11.296725853075076,0
41,NR-RC28 TA/RC26TA+SC27 TA,52.00503004051977,50.47942940815267,51.24222972433622,1.5256006323671016,2.9772331152923184,0
42,NR-31abS/30ab,30.723729044568625,30.570499492418858,30.64711426849374,0.1532295521497673,0.49998035967547,0
43,NR-30G/30ab,12.94534550906365,15.479324889933608,14.212335199498629,2.533979380869958,17.82943721281883,1
0,De/1-M-Adam,103.56191744340879,116.46503998359647,110.01347871350262,12.903122540187681,11.728674241626361,0
1,1-M-Adam/2-M-Adam,159.11016949152543,192.18442138447392,175.64729543799967,33.074251892948496,18.82992380296747,1
2,"1,3,5-TM-Adam/tr-1,4-DM-Adam",52.50219490781387,57.00102704553235,54.751610976673106,4.498832137718473,8.216803227278916,0
3,"1,3,5-TM-Adam/1,3,6-TM-Adam",66.7783361250698,74.34141985414496,70.55987798960737,7.56308372907516,10.718674613055754,0
4,C1-de_s/C2-de_s,60.91540690570122,72.6430265844813,66.77921674509126,11.727619678780087,17.56178082103988,1
5,Tetralin/2-M-Tetralin,67.00490251966708,99.5340001780891,83.26945134887809,32.52909765842202,39.06486368228039,1
6,"1,2,5,7-TeM-Adam /2-E-Adam",49.28926794598436,53.386898783617895,51.33808336480113,4.097630837633531,7.981659168139076,0
7,"1,2,5,7-TeM-Adam /BS10",8.092654180523953,10.357444413171969,9.22504929684796,2.264790232648016,24.550440434197526,1
